Bonnard|Yonne->47.9315391:3.5257298
Marigny|Manche->49.0987788:-1.242418
Coudun|Oise->49.4610057:2.8162485
Cametours|Manche->49.0683513:-1.2808039
Rivière Sèche|Flacq->32.9315755:10.4503961
Beuvrigny|Manche->48.9689809:-1.0022623
Venouse|Yonne->47.89521:3.68249
Montcresson|Loiret->47.9075337:2.8049609
Besneville|Manche->49.3678028:-1.6277869
Brienon sur Armançon|Yonne->47.9933948:3.6159046
La Haye d'Ectot|Manche->49.3908682:-1.7328175
Ribemont|Aisne->49.7959192:3.4588395
Champcevrais|Yonne->47.74508:2.9573
Joganville|Manche->49.4698366:-1.3486817
Ouzouer des Champs|Loiret->47.8810784:2.7054265
Verlin|Yonne->48.01666:3.23204
Orléans|Loiret->47.9027336:1.9086066
Rauville la Place|Manche->49.3881626:-1.5032335
Moon sur Elle|Manche->49.2117643:-1.0436799
Toucy|Yonne->47.7338629:3.2939186
Grandchamp|Yonne->47.798671600000006:3.163080087890007
Le Valdécie|Manche->49.4230252:-1.6543613
Hambye|Manche->48.9481147:-1.2643295
Prunoy|Yonne->47.90295035:3.1470321414101914
Châtillon sur Loire|Loiret->47.5904231:2.7530968
Secqueville en Bessin|Calvados->49.2340027:-0.5189443
Les Choux|Loiret->47.796965:2.6758426
Crosville sur Douve|Manche->49.3876806:-1.4841807
Mormant sur Vernisson|Loiret->47.9482078:2.737092
Blois|Loir-et-Cher->47.5876861:1.3337639
Oussoy en Gâtinais|Loiret->47.9068718:2.6415217
Bléneau|Yonne->47.7005149:2.948338
Lalande|Yonne->47.6813143:3.3206068
Bricquebec|Manche->49.4717312:-1.6321305
Besançon|Doubs->47.2380222:6.0243622
Dammarie sur Loing|Loiret->47.783723:2.8812008
Attichy|Oise->49.4119135:3.048782
Louesme|Yonne->47.7665413:3.1386565
Cheviré le Rouge|Maine et Loire->47.58793765:-0.16921267272798823
Gy les Nonains|Loiret->47.9440072:2.8456251
Le Mesnil Garnier|Manche->48.8653372:-1.3096271
Notre Dame de Cenilly|Manche->48.9955845:-1.2579726
Brecey|Manche->48.7243382:-1.1662557
Saint Jean aux Bois|Oise->49.3474799:2.904688
Saint Florentin|Yonne->48.0017354:3.7280324
Cheny|Yonne->47.9510093:3.5320302
Tollevast|Manche->49.5737038:-1.6256545
Eculleville|Manche->49.68211:-1.82222
Saint Denis le Gast|Manche->48.9400303:-1.3290414
Paris 11ème|Paris->32.9315755:10.4503961
Baubigny|Manche->49.4295692:-1.8039676
Liège|Wallonie->50.6451381:5.5734203
Crepy en Valois|Oise->49.2358509:2.8900507
Neuvy-sur-Barangeon|Cher->47.3146917:2.2551101
Quiers sur Bézonde|Loiret->47.9929414:2.4340644
